name,link,origin,birth
+44,/wiki/%2B44_(band),"Los Angeles, California",
3 Doors Down,/wiki/3_Doors_Down,"Escatawpa, Mississippi, U.S.",
3OH!3,/wiki/3OH!3,"Boulder, Colorado, U.S.",
4 Non Blondes,/wiki/4_Non_Blondes,"San Francisco, California, U.S.",
7 Year Bitch,/wiki/7_Year_Bitch,"Seattle, Washington, U.S.",
8stops7,/wiki/8stops7,"Ventura, California, U.S.",
10 Years,/wiki/10_Years_(band),"Knoxville, Tennessee, U.S.",
12 Stones,/wiki/12_Stones,"Mandeville, Louisiana, US",
13 Engines,/wiki/13_Engines,"Toronto, Ontario, Canada",
54-40,/wiki/54-40_(band),"Tsawwassen, British Columbia, Canada",
The 77s,/wiki/The_77s,"Sacramento, California, U.S.",
311,/wiki/311_(band),"Omaha, Nebraska, U.S.",
The 1975,/wiki/The_1975,"Wilmslow, England",
"10,000 Maniacs","/wiki/10,000_Maniacs","Jamestown, New York, United States",
A,/wiki/A_(band),"Suffolk, UK",
A Day to Remember,/wiki/A_Day_to_Remember,"Ocala, Florida, U.S.",
A Perfect Circle,/wiki/A_Perfect_Circle,"Los Angeles, California, U.S.",
A Rocket to the Moon,/wiki/A_Rocket_to_the_Moon,"Braintree, Massachusetts, United States",
A Silent Film,/wiki/A_Silent_Film,"Oxford, England",
Aaroh,/wiki/Aaroh,"Karachi, Sindh, Pakistan",
Abandoned Pools,/wiki/Abandoned_Pools,"Los Angeles, California, U.S.","Thousand Oaks, California"
The Academy Is...,/wiki/The_Academy_Is...,"Chicago, Illinois, U.S.",
Acceptance,/wiki/Acceptance_(band),"Seattle, Washington, U.S.",
The Accidentals,/wiki/The_Accidentals,"Traverse City, Michigan, United States",
The Aces,/wiki/The_Aces_(indie_pop_band),"Provo, Utah, U.S.",
Adam Again,/wiki/Adam_Again,"Huntington Beach, California, United States",
Adam Gontier,/wiki/Adam_Gontier,,"Peterborough, Ontario"
Adorable,/wiki/Adorable_(band),"Coventry, England",
The Afghan Whigs,/wiki/The_Afghan_Whigs,"Cincinnati, Ohio, U.S.",
AFI,/wiki/AFI_(band),"Ukiah, California, U.S.",
After Midnight Project,/wiki/After_Midnight_Project,"Los Angeles, California",
Against Me!,/wiki/Against_Me!,"Naples, Florida, US",
Against the Current,/wiki/Against_the_Current_(band),"Poughkeepsie, New York, U.S.",
Age of Chance,/wiki/Age_of_Chance,"Leeds, West Yorkshire, England",
The Age of Information,/wiki/The_Age_of_Information,"Little Rock, Arkansas, U.S.",
Air,/wiki/Air_(French_band),"Versailles, Île-de-France, France",
The Airborne Toxic Event,/wiki/The_Airborne_Toxic_Event,"Los Angeles, California, U.S.",
Alanis Morissette,/wiki/Alanis_Morissette,,Ottawa
The Alarm,/wiki/The_Alarm,"Rhyl, Wales",
Alex Clare,/wiki/Alex_Clare,"Golders Green, London, England","Southwark, London"
Alex Chilton,/wiki/Alex_Chilton,,Memphis
Alice in Chains,/wiki/Alice_in_Chains,"Seattle, Washington, U.S.",
Alien Ant Farm,/wiki/Alien_Ant_Farm,"Riverside, California, U.S.",
Alkaline Trio,/wiki/Alkaline_Trio,"Chicago, Illinois, U.S.",
The All-American Rejects,/wiki/The_All-American_Rejects,"Stillwater, Oklahoma, U.S.",
All Time Low,/wiki/All_Time_Low,"Towson, Maryland, U.S.",
The Almost,/wiki/The_Almost,"Clearwater, Florida, U.S.",
Alpha Rev,/wiki/Alpha_Rev,"Austin, Texas, United States",
Alt-J,/wiki/Alt-J,"Leeds, England",
Alter Bridge,/wiki/Alter_Bridge,"Orlando, Florida, U.S.",
Alvvays,/wiki/Alvvays,"Charlottetown, Prince Edward Island, Canada",
The American Analog Set,/wiki/The_American_Analog_Set,"Austin, Texas",
American Authors,/wiki/American_Authors,"Boston, Massachusetts, United States",
American Hi-Fi,/wiki/American_Hi-Fi,"Boston, Massachusetts, United States",
American Standards,/wiki/American_Standards,"Phoenix, Arizona, U.S.",
Amplifier,/wiki/Amplifier_(band),"Manchester, England",
The Amps,/wiki/The_Amps,"Dayton, Ohio, U.S.",
Anathema,/wiki/Anathema_(band),"Liverpool, Merseyside, England",
Anberlin,/wiki/Anberlin,"Winter Haven, Florida, U.S.",
Andy Biersack,/wiki/Andy_Biersack,,"Cincinnati, Ohio"
Angels & Airwaves,/wiki/Angels_%26_Airwaves,"San Diego, California, U.S.",
APB,/wiki/APB_(band),"Aberdeenshire, Scotland",
The Apex Theory,/wiki/The_Apex_Theory,"Los Angeles, California, U.S.",
The Apples in Stereo,/wiki/The_Apples_in_Stereo,"Denver, Colorado, U.S.",
Arcade Fire,/wiki/Arcade_Fire,"Montreal, Quebec, Canada",
Arcane Roots,/wiki/Arcane_Roots,"Kingston upon Thames, England",
Architecture in Helsinki,/wiki/Architecture_in_Helsinki_(band),"Fitzroy, Victoria, Australia",
Arctic Monkeys,/wiki/Arctic_Monkeys,"Sheffield, England",
Area 11,/wiki/Area_11_(band),"Nottingham, England",
Arkells,/wiki/Arkells,"Hamilton, Ontario, Canada",
Armor For Sleep,/wiki/Armor_For_Sleep,"New Jersey, United States",
ArmsBendBack,/wiki/ArmsBendBack,"Philadelphia, Pennsylvania[1]",
As Tall As Lions,/wiki/As_Tall_As_Lions,"Long Island, New York",
Ash,/wiki/Ash_(band),"Downpatrick, County Down, Northern Ireland",
Asian Kung-Fu Generation,/wiki/Asian_Kung-Fu_Generation,"Yokohama, Japan",
The Asteroids Galaxy Tour,/wiki/The_Asteroids_Galaxy_Tour,"Copenhagen, Denmark",
At the Drive-In,/wiki/At_the_Drive-In,"El Paso, Texas, U.S.",
The Ataris,/wiki/The_Ataris,"Anderson, Indiana, U.S.",
Athlete,/wiki/Athlete_(band),"Deptford, London, England",
Atlas Genius,/wiki/Atlas_Genius,"Adelaide, South Australia, Australia",
Atom Smash,/wiki/Atom_Smash,"Miami, Florida",
Audioslave,/wiki/Audioslave,"Glendale, California, U.S.",
The Auteurs,/wiki/The_Auteurs,"London, England",
Autolux,/wiki/Autolux,"Los Angeles, California, U.S.",
Avril Lavigne,/wiki/Avril_Lavigne,,"Belleville, Ontario"
Awolnation,/wiki/Awolnation,"Los Angeles, California, U.S.",
B-52s,/wiki/B-52s,"Athens, Georgia, U.S.",
Babes in Toyland,/wiki/Babes_in_Toyland_(band),"Minneapolis, Minnesota, U.S.",
Baby Chaos,/wiki/Baby_Chaos,"Glasgow, Scotland",
Bad Books,/wiki/Bad_Books_(band),"Atlanta, Georgia / Brooklyn, New York, United States",
Bad Suns,/wiki/Bad_Suns,"Woodland Hills, California, U.S.",
Badflower,/wiki/Badflower,"Los Angeles, California, U.S.",
Balance and Composure,/wiki/Balance_and_Composure,"Doylestown, Pennsylvania, U.S.",
Band of Horses,/wiki/Band_of_Horses,"Seattle, Washington(now based in Charleston, South Carolina)",
Barenaked Ladies,/wiki/Barenaked_Ladies,"Scarborough, Ontario, Canada",
Baryonyx,/wiki/Baryonyx_(band),Italy,
Bastille,/wiki/Bastille_(band),"London, England",
Battles,/wiki/Battles_(band),"New York City, United States",
Bayside,/wiki/Bayside_(band),"New York City, U.S.",
Be Your Own Pet,/wiki/Be_Your_Own_Pet,"Nashville, Tennessee, U.S.",
