,name,link,origin,birth,origin_point,birth_point,spotify_id,genre
0,Clarence Ashley,/wiki/Clarence_Ashley,,"Bristol, Tennessee",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',"b'\x01\x01\x00\x00\x00[%X\x1c\xce\x8dT\xc0E,b\xd8aHB@'",62OfrERsnZFWXyaruPhOh7,folk
1,Dock Boggs,/wiki/Dock_Boggs,,"Norton, Virginia",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00|\xd4_\xaf\xb0\xa8T\xc0\xa2\x98\xbc\x01fvB@',2NwYS5UK1AbaTljDWp4uh0,folk
2,Fleming Brown,/wiki/Fleming_Brown,"Chicago, Illinois, U.S.","Marshall, Missouri",b'\x01\x01\x00\x00\x00j0\r\xc3G\xeaU\xc0#\x15\xc6\x16\x82\xf0D@',b'\x01\x01\x00\x00\x00\x8e\x01\xd9\xeb\xddLW\xc0Z\x9frL\x16\x8fC@',49UnGZjjlu82OyuVMDhM8I,folk
3,Dick Burnett,/wiki/Dick_Burnett_(musician),,"Monticello, Kentucky",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00H\xdf\xa4iP6U\xc0\xde\x1e\x84\x80|kB@',1z8JeSutSvLKcjM4Rkxq35,folk
4,Sara Carter,/wiki/Sara_Carter,,"Copper Creek, Virginia",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\xfe\xb7\x92\x1d\x1b\x98S\xc0/\xfa\n\xd2\x8c\xddB@',59Au2ho6KTcJoeAMPxlv18,folk
5,Stoney Cooper,/wiki/Stoney_Cooper,,"Harman, West Virginia",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00JC\x8dB\x92\xe1S\xc0\xbb\xb5L\x86\xe3uC@',151pVpaq4HKrz8omqcssMm,folk
6,Hazel Dickens,/wiki/Hazel_Dickens,,"Mercer County, West Virginia",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\x1e\x8bmR\xd1FT\xc0D\xa2\xd0\xb2\xee\xb5B@',2IEiSF4inDSwzQowcQjdfT,folk
7,Roscoe Holcomb,/wiki/Roscoe_Holcomb,"Daisy, Kentucky, United States",,b'\x01\x01\x00\x00\x00\xeb\xad\x81\xad\x12\xc6T\xc04\x9d\x9d\x0c\x8e\x8eB@',b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',7JZ7Ok3UaKmZmD5otFfcY3,folk
8,Kossoy Sisters,/wiki/Kossoy_Sisters,"Greenwich Village, New York City",New York City,b'\x01\x01\x00\x00\x00\xfacZ\x9b\xc6\x7fR\xc0r\x8b\xf9\xb9\xa1]D@',b'\x01\x01\x00\x00\x00<\xbdR\x96!~R\xc0\xcff\xd5\xe7jWD@',1pJCiTd2Is4hUveBFVFmAe,folk
9,Wilma Lee,/wiki/Wilma_Lee,,"Valley Head, West Virginia",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00<i\xe1\xb2\n\x02T\xc0;r\xa430FC@',7Fp4K5Ae9buLa4zha2rp7T,folk
10,Bascom Lamar Lunsford,/wiki/Bascom_Lamar_Lunsford,,"Mars Hill, North Carolina",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\xf7\x00\xdd\x973\xa3T\xc0=\xf2\x07\x03\xcf\xe9A@',3cV9xElTrvkQXqCShHtpU3,folk
11,New Lost City Ramblers,/wiki/New_Lost_City_Ramblers,"New York City, New York, United States",,b'\x01\x01\x00\x00\x00<\xbdR\x96!~R\xc0\xcff\xd5\xe7jWD@',b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',4fqd1tgX1D2YESwxzr2cvd,folk
12,Jean Ritchie,/wiki/Jean_Ritchie,,"Viper, Kentucky",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00O\x92\xae\x99|\xc9T\xc0\xb3\xb5\xbeHh\x97B@',7cWhIVoEYJd0oWnxULFt8s,folk
13,Sam Rizzetta,/wiki/Sam_Rizzetta,,Chicago,b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00j0\r\xc3G\xeaU\xc0#\x15\xc6\x16\x82\xf0D@',4hNW8xw4NITBHiTynTUPNz,folk
14,Doc Watson,/wiki/Doc_Watson,,"Deep Gap, North Carolina",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',"b'\x01\x01\x00\x00\x009\'\xf6\xd0>`T\xc0s\xf2""\x13\xf0\x1dB@'",01N1aZStXA4yGvkz4vRXtJ,folk
