,name,link,origin,birth,origin_point,birth_point,spotify_id,genre
0,Clarence Ashley,/wiki/Clarence_Ashley,,"Bristol, Tennessee",POINT (100.77522 18.776703),POINT (-82.215705 36.565486),62OfrERsnZFWXyaruPhOh7,folk
1,Dock Boggs,/wiki/Dock_Boggs,,"Norton, Virginia",POINT (100.77522 18.776703),POINT (-82.635784 36.924988),2NwYS5UK1AbaTljDWp4uh0,folk
2,Fleming Brown,/wiki/Fleming_Brown,"Chicago, Illinois, U.S.","Marshall, Missouri",POINT (-87.66063 41.87897),POINT (-93.201045 39.117868),49UnGZjjlu82OyuVMDhM8I,folk
3,Dick Burnett,/wiki/Dick_Burnett_(musician),,"Monticello, Kentucky",POINT (100.77522 18.776703),POINT (-84.848658 36.839737),1z8JeSutSvLKcjM4Rkxq35,folk
4,Sara Carter,/wiki/Sara_Carter,,"Copper Creek, Virginia",POINT (100.77522 18.776703),POINT (-78.376655 37.73086),59Au2ho6KTcJoeAMPxlv18,folk
5,Stoney Cooper,/wiki/Stoney_Cooper,,"Harman, West Virginia",POINT (100.77522 18.776703),POINT (-79.524552 38.921006),151pVpaq4HKrz8omqcssMm,folk
6,Hazel Dickens,/wiki/Hazel_Dickens,,"Mercer County, West Virginia",POINT (100.77522 18.776703),POINT (-81.106526 37.421347),2IEiSF4inDSwzQowcQjdfT,folk
7,Roscoe Holcomb,/wiki/Roscoe_Holcomb,"Daisy, Kentucky, United States",,POINT (-83.09489 37.11371),POINT (100.77522 18.776703),7JZ7Ok3UaKmZmD5otFfcY3,folk
8,Kossoy Sisters,/wiki/Kossoy_Sisters,"Greenwich Village, New York City",New York City,POINT (-73.996497 40.731498),POINT (-73.9708 40.68295),1pJCiTd2Is4hUveBFVFmAe,folk
9,Wilma Lee,/wiki/Wilma_Lee,,"Valley Head, West Virginia",POINT (100.77522 18.776703),POINT (-80.031903 38.548346),7Fp4K5Ae9buLa4zha2rp7T,folk
10,Bascom Lamar Lunsford,/wiki/Bascom_Lamar_Lunsford,,"Mars Hill, North Carolina",POINT (100.77522 18.776703),POINT (-82.550024 35.82663),3cV9xElTrvkQXqCShHtpU3,folk
11,New Lost City Ramblers,/wiki/New_Lost_City_Ramblers,"New York City, New York, United States",,POINT (-73.9708 40.68295),POINT (100.77522 18.776703),4fqd1tgX1D2YESwxzr2cvd,folk
12,Jean Ritchie,/wiki/Jean_Ritchie,,"Viper, Kentucky",POINT (100.77522 18.776703),POINT (-83.14823 37.18287),7cWhIVoEYJd0oWnxULFt8s,folk
13,Sam Rizzetta,/wiki/Sam_Rizzetta,,Chicago,POINT (100.77522 18.776703),POINT (-87.66063 41.87897),4hNW8xw4NITBHiTynTUPNz,folk
14,Doc Watson,/wiki/Doc_Watson,,"Deep Gap, North Carolina",POINT (100.77522 18.776703),POINT (-81.503834 36.233889),01N1aZStXA4yGvkz4vRXtJ,folk
15,Uncle Dave Macon,/wiki/Uncle_Dave_Macon,"Nashville, Tennessee",Tennessee,POINT (-86.834683 36.236907),POINT (-86.343764 35.820245),5Aa1aFuL2vUePqwhMFnxO0,folk
16,Charlie Poole,/wiki/Charlie_Poole,,"Franklinville, North Carolina",POINT (100.77522 18.776703),POINT (-80.49895 35.72125),7FS3EGuBVCs09Mfs23t2Af,folk
17,Rising Appalachia,/wiki/Rising_Appalachia,"Atlanta, Georgia",,POINT (-84.414581 33.769805),POINT (100.77522 18.776703),3I6e2ZqqoxQhXc9z7Tp5ci,folk
18,Fernest Arceneaux,/wiki/Fernest_Arceneaux,,Lafayette,POINT (100.77522 18.776703),POINT (-92.031897 30.211987),7HBcntk6WvaqjA4kLrqA9m,folk
19,Amédé Ardoin,/wiki/Am%C3%A9d%C3%A9_Ardoin,,"Basile, Evangeline Parish, Louisiana",POINT (100.77522 18.776703),POINT (-92.601015 30.485722),5Qg9EHJc1i9xp7WXArccSz,folk
20,Chris Ardoin,/wiki/Chris_Ardoin,,"Lake Charles, Louisiana",POINT (100.77522 18.776703),POINT (-93.213418 30.203629),3AU7f1EqS89mHHMDHbTQFf,folk
21,Dewey Balfa,/wiki/Dewey_Balfa,,Louisiana,POINT (100.77522 18.776703),POINT (-92.51441 30.542601),4HNzfw32MdPySNZHapfWgK,folk
22,BeauSoleil,/wiki/BeauSoleil,"Lafayette, Louisiana, U.S.",,POINT (-92.031897 30.211987),POINT (100.77522 18.776703),2NBfhrFJmF7o35vK2pndvo,folk
23,Bobby Charles,/wiki/Bobby_Charles,,"Abbeville, Louisiana",POINT (100.77522 18.776703),POINT (-92.127504 29.972503),1B8vzl6kObOf1cxN4myLS1,folk
24,Boozoo Chavis,/wiki/Boozoo_Chavis,,"Lake Charles, Louisiana",POINT (100.77522 18.776703),POINT (-93.213418 30.203629),0gU00e6HDaZ3hxlR3pZrU0,folk
25,C. J. Chenier,/wiki/C._J._Chenier,,"Port Arthur, Texas",POINT (100.77522 18.776703),POINT (-93.89954 29.682232),2dNbwxgYSvdnMGWsYHJ38j,folk
26,Clifton Chenier,/wiki/Clifton_Chenier,,Opelousas,POINT (100.77522 18.776703),POINT (-92.085363 30.525943),3LzQVHowQWbzJBwBBNRPfY,folk
27,Geno Delafose,/wiki/Geno_Delafose,,"Eunice, Louisiana",POINT (100.77522 18.776703),POINT (-92.421221 30.491681),7zKDS8dI38NouMTa55W2xr,folk
28,John Delafose,/wiki/John_Delafose,,Evangeline Parish,POINT (100.77522 18.776703),POINT (-92.401489 30.727562),4FUWfaBOkbbPUUivMD7M3w,folk
29,Queen Ida,/wiki/Queen_Ida,,"Lake Charles, Louisiana",POINT (100.77522 18.776703),POINT (-93.213418 30.203629),4ownYCUB1wbXdo3eTnakwq,folk
30,Beau Jocque,/wiki/Beau_Jocque,,"Evangeline Parish, Louisiana",POINT (100.77522 18.776703),POINT (-92.401489 30.727562),7lXjOGZAeqkWTGYKkmVtGW,folk
31,Rosie Ledet,/wiki/Rosie_Ledet,,"Church Point, Louisiana",POINT (100.77522 18.776703),POINT (-92.214207 30.404692),08Utsn05gzPaciVeIBnkeP,folk
32,D. L. Menard,/wiki/D._L._Menard,,"Erath, Louisiana",POINT (100.77522 18.776703),POINT (-92.034489 29.956739),1gEdV73o3X847usz85JTGl,folk
33,Jimmy C. Newman,/wiki/Jimmy_C._Newman,,"Mamou, Louisiana",POINT (100.77522 18.776703),POINT (-92.419117 30.634911),4I2LAvm6wV4SY7sp3qpdDH,folk
34,Steve Riley and the Mamou Playboys,/wiki/Steve_Riley_and_the_Mamou_Playboys,"Louisiana, United States",,POINT (-92.51441 30.542601),POINT (100.77522 18.776703),7F8pZngjUPLEQOgYztIhB9,folk
35,Rockin' Dopsie,/wiki/Rockin%27_Dopsie,,"Carencro, Louisiana",POINT (100.77522 18.776703),POINT (-92.039864 30.312748),72iADHTfbYiwjTmW4AcuL4,folk
36,Rockin' Sidney,/wiki/Rockin%27_Sidney,,"Lebeau, Louisiana",POINT (100.77522 18.776703),POINT (-91.97706 30.73131),328azApStz6rBvBKZsUwvi,folk
37,Amanda Shaw,/wiki/Amanda_Shaw,,Boston,POINT (100.77522 18.776703),POINT (-71.048611 42.355492),5ly5bZR1G4PijTkirVOyFZ,folk
38,Terrance Simien,/wiki/Terrance_Simien,,"Mallet, Louisiana",POINT (100.77522 18.776703),POINT (-92.51441 30.542601),2pBpjXBKJtxmlzjk5OjaRi,folk
39,Jo-El Sonnier,/wiki/Jo-El_Sonnier,,"Rayne, Louisiana",POINT (100.77522 18.776703),POINT (-92.267615 30.23948),6TdaDpGBUyjeHtwQfMNoOF,folk
40,Nathan Williams,/wiki/Nathan_Williams_(Zydeco),,St. Martinville,POINT (100.77522 18.776703),POINT (-91.827771 30.126533),2OHypU9FnBtbHK18a9OFa3,folk
41,Buckwheat Zydeco,/wiki/Buckwheat_Zydeco,,"Lafayette, Louisiana",POINT (100.77522 18.776703),POINT (-92.031897 30.211987),31ioFU3ADV6npBP7ykNvtF,folk
42,The Accidentals,/wiki/The_Accidentals,"Traverse City, Michigan, United States",,POINT (-85.590344 44.755631),POINT (100.77522 18.776703),5JqJWTzD2wSWAp7UmFSP5x,folk
43,Kasey Chambers,/wiki/Kasey_Chambers,"Adelaide, South Australia, Australia","Mount Gambier, South Australia",POINT (138.602578 -34.929075),POINT (140.775335 -37.826477),6uATIQFyydDXPc2RlLzcUE,folk
44,Derroll Adams,/wiki/Derroll_Adams,,"Portland, Oregon",POINT (100.77522 18.776703),POINT (-122.650095 45.533467),0dcbZPNrE1zejMbLyUKxqd,folk
45,A Fragile Tomorrow,/wiki/A_Fragile_Tomorrow,"Montgomery, New York, United States",,POINT (-74.231774 41.560212),POINT (100.77522 18.776703),36j3p0TaCqKs24aXWiFY1X,folk
46,The Almanac Singers,/wiki/The_Almanac_Singers,New York City,,POINT (-73.9708 40.68295),POINT (100.77522 18.776703),6FJhtg2UjgNZk9e8tf6Zew,folk
47,Eric Andersen,/wiki/Eric_Andersen,,Pittsburgh,POINT (100.77522 18.776703),POINT (-79.936309 40.450508),6t2MHOFOYTYNUXi9CNjP5A,folk
48,Jamie Anderson,/wiki/Jamie_Anderson_(musician),,"Tucson, Arizona",POINT (100.77522 18.776703),POINT (-110.828987 32.19709),3QeUcfxQWae16K2zOaagyG,folk
49,Devendra Banhart,/wiki/Devendra_Banhart,,Houston,POINT (100.77522 18.776703),POINT (-95.361416 29.784753),1YZEoYFXx4AxVv13OiOPvZ,folk
50,Dan Bern,/wiki/Dan_Bern,,"Mount Vernon, Iowa",POINT (100.77522 18.776703),POINT (-91.424348 41.922991),73CZu9benZbhuQwq2NDuWL,folk
51,Leon Bibb,/wiki/Leon_Bibb_(musician),,"Louisville, Kentucky",POINT (100.77522 18.776703),POINT (-85.776881 38.141177),6h6rvsubMjxNgb5fvOo1mP,folk
52,Theodore Bikel,/wiki/Theodore_Bikel,,"Vienna, Austria",POINT (100.77522 18.776703),POINT (16.348388 48.198674),67p0NB8haJlULQy2gr4iKZ,folk
53,Billy Pilgrim,/wiki/Billy_Pilgrim_(group),United States,,POINT (-96.999246 39.71614),POINT (100.77522 18.776703),4rMdzVjq1qqizATeZrjn6l,folk
54,David Blue,/wiki/David_Blue_(musician),,Providence,POINT (100.77522 18.776703),POINT (-71.419697 41.826948),3gDmirZwdIYHGozUPScwgK,folk
55,Hugh Blumenfeld,/wiki/Hugh_Blumenfeld,,"Jamaica, Queens",POINT (100.77522 18.776703),POINT (-73.795405 40.70009),4ZNUlHvnHjxbxpzOkmkSwR,folk
56,Dock Boggs,/wiki/Dock_Boggs,,"Norton, Virginia",POINT (100.77522 18.776703),POINT (-82.635784 36.924988),2NwYS5UK1AbaTljDWp4uh0,folk
57,Gordon Bok,/wiki/Gordon_Bok,,Camden,POINT (100.77522 18.776703),POINT (-0.163523 51.543487),3ADqA3QBx9iTf6nfre13tr,folk
58,Ralston Bowles,/wiki/Ralston_Bowles,,"Gary, Indiana",POINT (100.77522 18.776703),POINT (-87.346784 41.589885),3JFJI7eRCGer7MGFJKOyot,folk
59,Oscar Brand,/wiki/Oscar_Brand,,"Winnipeg, Manitoba",POINT (100.77522 18.776703),POINT (-97.138026 49.874557),4moVbJTrAlRWytpFB8GjTz,folk
60,Brewer & Shipley,/wiki/Brewer_%26_Shipley,United States,,POINT (-96.999246 39.71614),POINT (100.77522 18.776703),4bx9rfUR9C0H26TEiVCwdi,folk
61,Chuck Brodsky,/wiki/Chuck_Brodsky,,Philadelphia,POINT (100.77522 18.776703),POINT (-75.168428 39.990821),2I1XI3eYHcCcfVM4rXCrvK,folk
62,David Bromberg,/wiki/David_Bromberg,,"Philadelphia, Pennsylvania",POINT (100.77522 18.776703),POINT (-75.168428 39.990821),0SOCskFcUcLj7Ful8w8KrL,folk
63,Jonatha Brooke,/wiki/Jonatha_Brooke,,Illinois,POINT (100.77522 18.776703),POINT (-89.191575 40.265028),3djsIvG79aMILDWDNiyChc,folk
64,The Brothers Four,/wiki/The_Brothers_Four,"Seattle, Washington, U.S.",,POINT (-122.331537 47.673455),POINT (100.77522 18.776703),0nd3tsqHVtnAWBCQgwtbIz,folk
65,Greg Brown,/wiki/Greg_Brown_(folk_musician),,"Fairfield, Iowa",POINT (100.77522 18.776703),POINT (-91.963301 41.006904),0nnDCl6emTFoWtygqSs4Jy,folk
66,Tim Buckley,/wiki/Tim_Buckley,,"Washington, D.C.",POINT (100.77522 18.776703),POINT (-77.01712 38.82652),6zHRqvws8dVeqL8D31ponr,folk
67,David Buskin,/wiki/David_Buskin,,"New York City, New York",POINT (100.77522 18.776703),POINT (-73.9708 40.68295),5MIUrmZEljn4H07pYXtXSN,folk
68,Andrew Calhoun,/wiki/Andrew_Calhoun,,"New Haven, Connecticut",POINT (100.77522 18.776703),POINT (-72.925298 41.308659),3w6ZSnKTU0HUe00F6yKyWG,folk
69,Hamilton Camp,/wiki/Hamilton_Camp,,"[1], London",POINT (100.77522 18.776703),POINT (120.944016 14.35107),5ND1l6L0UQD7KoAnMupeYY,folk
70,Mary Chapin Carpenter,/wiki/Mary_Chapin_Carpenter,,"Princeton, New Jersey",POINT (100.77522 18.776703),POINT (-74.672885 40.354435),0qAmeOULjwn04k6jMMeDyr,folk
71,Liz Carroll,/wiki/Liz_Carroll,,"Chicago, Illinois",POINT (100.77522 18.776703),POINT (-87.66063 41.87897),69WY727rgGm0EpEd7NSUHM,folk
72,Dave Carter,/wiki/Dave_Carter,,"Oxnard, California",POINT (100.77522 18.776703),POINT (-119.180285 34.195054),3DQlT4YRvt7NCncG9Pk3bE,folk
73,Chad Mitchell Trio,/wiki/Chad_Mitchell_Trio,"Spokane, Washington, United States",,POINT (-117.4058 47.660011),POINT (100.77522 18.776703),5WpHJJKKIF62r8hJfWUwID,folk
74,Len Chandler,/wiki/Len_Chandler,,"Akron, Ohio",POINT (100.77522 18.776703),POINT (-81.538266 41.078013),641w67BH81V0VVhxM1Tkya,folk
75,Tracy Chapman,/wiki/Tracy_Chapman,,"Cleveland, Ohio",POINT (100.77522 18.776703),POINT (-81.651327 41.496551),7oPgCQqMMXEXrNau5vxYZP,folk
76,Cherish the Ladies,/wiki/Cherish_the_Ladies,New York City,,POINT (-73.9708 40.68295),POINT (100.77522 18.776703),2IMfWWTIcBjATtXsM4GHej,folk
