name,link,origin,birth,origin_point,birth_point,spotify_id,genre
Clarence Ashley,/wiki/Clarence_Ashley,,"Bristol, Tennessee","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-82.215705, 36.565486], ""type"": ""Point""}",62OfrERsnZFWXyaruPhOh7,folk
Dock Boggs,/wiki/Dock_Boggs,,"Norton, Virginia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-82.635784, 36.924988], ""type"": ""Point""}",2NwYS5UK1AbaTljDWp4uh0,folk
Fleming Brown,/wiki/Fleming_Brown,"Chicago, Illinois, U.S.","Marshall, Missouri","{""coordinates"": [-87.66063, 41.87897], ""type"": ""Point""}","{""coordinates"": [-93.201045, 39.117868], ""type"": ""Point""}",49UnGZjjlu82OyuVMDhM8I,folk
Dick Burnett,/wiki/Dick_Burnett_(musician),,"Monticello, Kentucky","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-84.848658, 36.839737], ""type"": ""Point""}",1z8JeSutSvLKcjM4Rkxq35,folk
Sara Carter,/wiki/Sara_Carter,,"Copper Creek, Virginia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-78.376655, 37.73086], ""type"": ""Point""}",59Au2ho6KTcJoeAMPxlv18,folk
Stoney Cooper,/wiki/Stoney_Cooper,,"Harman, West Virginia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-79.524552, 38.921006], ""type"": ""Point""}",151pVpaq4HKrz8omqcssMm,folk
Hazel Dickens,/wiki/Hazel_Dickens,,"Mercer County, West Virginia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-81.106526, 37.421347], ""type"": ""Point""}",2IEiSF4inDSwzQowcQjdfT,folk
Roscoe Holcomb,/wiki/Roscoe_Holcomb,"Daisy, Kentucky, United States",,"{""coordinates"": [-83.09489, 37.11371], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",7JZ7Ok3UaKmZmD5otFfcY3,folk
Kossoy Sisters,/wiki/Kossoy_Sisters,"Greenwich Village, New York City",New York City,"{""coordinates"": [-73.996497, 40.731498], ""type"": ""Point""}","{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}",1pJCiTd2Is4hUveBFVFmAe,folk
Wilma Lee,/wiki/Wilma_Lee,,"Valley Head, West Virginia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-80.031903, 38.548346], ""type"": ""Point""}",7Fp4K5Ae9buLa4zha2rp7T,folk
Bascom Lamar Lunsford,/wiki/Bascom_Lamar_Lunsford,,"Mars Hill, North Carolina","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-82.550024, 35.82663], ""type"": ""Point""}",3cV9xElTrvkQXqCShHtpU3,folk
New Lost City Ramblers,/wiki/New_Lost_City_Ramblers,"New York City, New York, United States",,"{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",4fqd1tgX1D2YESwxzr2cvd,folk
Jean Ritchie,/wiki/Jean_Ritchie,,"Viper, Kentucky","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-83.14823, 37.18287], ""type"": ""Point""}",7cWhIVoEYJd0oWnxULFt8s,folk
Sam Rizzetta,/wiki/Sam_Rizzetta,,Chicago,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-87.66063, 41.87897], ""type"": ""Point""}",4hNW8xw4NITBHiTynTUPNz,folk
Doc Watson,/wiki/Doc_Watson,,"Deep Gap, North Carolina","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-81.503834, 36.233889], ""type"": ""Point""}",01N1aZStXA4yGvkz4vRXtJ,folk
Uncle Dave Macon,/wiki/Uncle_Dave_Macon,"Nashville, Tennessee",Tennessee,"{""coordinates"": [-86.834683, 36.236907], ""type"": ""Point""}","{""coordinates"": [-86.343764, 35.820245], ""type"": ""Point""}",5Aa1aFuL2vUePqwhMFnxO0,folk
Charlie Poole,/wiki/Charlie_Poole,,"Franklinville, North Carolina","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-80.49895, 35.72125], ""type"": ""Point""}",7FS3EGuBVCs09Mfs23t2Af,folk
Rising Appalachia,/wiki/Rising_Appalachia,"Atlanta, Georgia",,"{""coordinates"": [-84.414581, 33.769805], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",3I6e2ZqqoxQhXc9z7Tp5ci,folk
