name,link,origin,birth,origin_point,birth_point,genre,spotify_id
"The ""5"" Royales",/wiki/The_%225%22_Royales,"Winston-Salem, North Carolina, United States",,POINT (-80.260878 36.105975),,soul,67OIf7vgqZq9qFuDqmCFyI
The 5th Dimension,/wiki/The_5th_Dimension,"Los Angeles, California, United States",,POINT (-118.25703 34.05513),,soul,1UUYAQ9LiRsZF0ZukQNWXM
Aaliyah,/wiki/Aaliyah,"Detroit, Michigan, US",,POINT (-83.164558 42.398648),,soul,0urTpYCsixqZwgNTkPJOJ4
Adele,/wiki/Adele,,London,POINT (100.77522 18.776703),POINT (-0.099076 51.509648),soul,4dpARuHxo51G3z768sgnrY
Amy Winehouse,/wiki/Amy_Winehouse,,"Southgate, London",POINT (100.77522 18.776703),POINT (-0.13208 51.63169),soul,6Q192DXotxtaysaqNPy5yR
Anderson Paak,/wiki/Anderson_Paak,,"Oxnard, California",POINT (100.77522 18.776703),POINT (-119.180285 34.195054),soul,3jK9MiCrA42lLAdMGUZpwa
Aretha Franklin,/wiki/Aretha_Franklin,"Detroit, Michigan, U.S.","Memphis, Tennessee",POINT (-83.164558 42.398648),POINT (-89.954644 35.112125),soul,7nwUJBm0HE4ZxD3f5cy5ok
Arthur Alexander,/wiki/Arthur_Alexander,,"Sheffield, Alabama",POINT (100.77522 18.776703),POINT (-87.692174 34.759401),soul,0j4pxInmdtF4bYQj0VVpbz
Aṣa,/wiki/A%E1%B9%A3a,,"Paris, France",POINT (100.77522 18.776703),POINT (2.342865 48.858705),soul,0upXUo04k4k8bGVSkmgrSc
Ashford & Simpson,/wiki/Ashford_%26_Simpson,"New York, New York, U.S.",,POINT (-73.9708 40.68295),,soul,2EURsXo9qlt1aMWlviGCRi
Atlantic Starr,/wiki/Atlantic_Starr,"White Plains, New York, U.S.",,POINT (-73.755405 41.014714),,soul,2YdVmtVBpIrv0N6WiBzSqm
Aurea,/wiki/Aurea_(singer),"Alvalade Do Sado, Portugal",Santiago do Cacém,POINT (-8.797754 38.494792),POINT (-8.691874 38.018419),soul,5EKwewrlUxiY4GING1LEMH
Ayọ,/wiki/Ay%E1%BB%8D,"Cologne, West Germany",,POINT (7.002998 50.928344),,soul,6OkX55UMCw4Hgc5HM4zr7K
Barbara Acklin,/wiki/Barbara_Acklin,"Chicago, Illinois, U.S.","Oakland, California",POINT (-87.66063 41.87897),POINT (-122.197811 37.785199),soul,5cIS9VdHDj2fozLl19Gg2A
India.Arie,/wiki/India.Arie,"Atlanta, Georgia, U.S.","Denver, Colorado",POINT (-84.414581 33.769805),POINT (-104.985798 39.740959),soul,7Gf3LSwa5hh8Cjo60WhVjC
Jhené Aiko,/wiki/Jhen%C3%A9_Aiko,,"[1], Los Angeles, California",POINT (100.77522 18.776703),POINT (-3.701047 40.352392),soul,5ZS223C6JyBfXasXxrRqOk
Johnny Ace,/wiki/Johnny_Ace,,"Memphis, Tennessee",POINT (100.77522 18.776703),POINT (-89.954644 35.112125),soul,3sFl2kyQgKddOq2sKgv6ah
Johnny Adams,/wiki/Johnny_Adams,"New Orleans, Louisiana, U.S.",,POINT (-89.889852 30.056708),,soul,24qtJegdRiX2TPRvPN6rzk
Melanie Amaro,/wiki/Melanie_Amaro,"Tortola, British Virgin Islands","Fort Lauderdale, Florida",POINT (-64.640814 18.42785),POINT (-80.142951 26.121044),soul,5jWTiWBU6BfIEtcYwYA3nv
Vanessa Amorosi,/wiki/Vanessa_Amorosi,,"Melbourne, Victoria",POINT (100.77522 18.776703),POINT (144.978682 -37.825071),soul,5M0fvL9GMc2zTuIIQwresj
Patti Austin,/wiki/Patti_Austin,,"Harlem, New York",POINT (100.77522 18.776703),POINT (-73.941371 40.809139),soul,0JxChc2w5fwTGbXKfc4cRd
Shola Ama,/wiki/Shola_Ama,,London,POINT (100.77522 18.776703),POINT (-0.099076 51.509648),soul,1XCorAp4vtEceWjPgyiiw6
Sunshine Anderson,/wiki/Sunshine_Anderson,,"Winston-Salem, North Carolina",POINT (100.77522 18.776703),POINT (-80.260878 36.105975),soul,0hnmRa5ahunapQbPjKUbMK
Baby Huey & the Babysitters,/wiki/Baby_Huey_(singer),"Chicago, Illinois, United States","Richmond, Indiana",POINT (-87.66063 41.87897),POINT (-78.98559 40.81868),soul,3YFP5QHEKv8RZZsPminjdv
Chimène Badi,/wiki/Chim%C3%A8ne_Badi,"Melun, Paris Region, France",,POINT (2.658298 48.543473),,soul,04kcokUKRXC8btCcOMLi8z
Erykah Badu,/wiki/Erykah_Badu,,"Dallas, Texas",POINT (100.77522 18.776703),POINT (-96.784359 32.736212),soul,7IfculRW2WXyzNQ8djX8WX
Corinne Bailey Rae,/wiki/Corinne_Bailey_Rae,,Leeds,POINT (100.77522 18.776703),POINT (-1.544227 53.797563),soul,29WzbAQtDnBJF09es0uddn
Anita Baker,/wiki/Anita_Baker,"Detroit, Michigan, U.S.","Toledo, Ohio",POINT (-83.164558 42.398648),POINT (-83.563577 41.673729),soul,46CH1Gp8l8QVly8bpG9JFG
LaVern Baker,/wiki/LaVern_Baker,,Chicago,POINT (100.77522 18.776703),POINT (-87.66063 41.87897),soul,0V6zo2mJw9FdwWLClKC9yw
